Tweets,tweet_id,BART_Summary,Pegasus_Summary,T5_Summary
bold hearts fearless minds meet the july revolution girls from the streets of bangladesh they are breaking barriers rewriting history and inspiring a new era of unstoppable change,753744,Girls from the streets of bangladesh are breaking barriers rewriting history and inspiring a new era of unstoppable change.,BBC News NI meets the girls from the streets of bangladesh who are rewriting history and inspiring an era of unstoppable change.,bold hearts fearless minds meet the july revolution girls from the streets of bangladesh they are breaking barriers rewriting history and inspiring
rickshaw that carried revolution martyr finds place in museum,135227,rickshaw that carried revolution martyr finds place in museum.,.,rickshaw that carried revolution martyr finds place in museum. rickshaw finds place in museum.
butcher of bangladesh hasina deployed un vehicles to attack demonstrators in dhaka that is how crazy she went to save her position and butcherofgujrat is sheltering this woman,164257,butcher of bangladesh hasina deployed un vehicles to attack demonstrators in dhaka that is how crazy she went to save her position and butcherofgujrat is sheltering this woman.,butcher of bangladesh hasina deployed un vehicles to attack demonstrators in dhaka that is how crazy she went to save her position and butcherofg,butcher of bangladesh hasina deployed un vehicles to attack demonstrators in dhaka. butcherofgujrat is
frustrated bal goon showing police how to shoot to kill the goon is literally shouting at the police this is how butcherofbangladesh ran the country for 15 years,849649,frustrated bal goon showing police how to shoot to kill the goon. This is how butcherofbangladesh ran the country for 15 years.,This is what it's like to be a goon in South Africa.,bal goon showing police how to shoot to kill the goon is literally shouting at the police this is how butcherofbangladesh ran
if you know you know unpublished images from july 25 we had amber hard fraudcorrupt as a ruler the only difference is that fasicthasina is a killer of thousand innocent students,236113,if you know you know unpublished images from july 25 we had amber hard fraudcorrupt as a ruler the only difference is that fasicthasina is a killer of thousand innocent students.,The BBC's political editor Laura Kuenssberg looks at some of the key stories from this year's general election.,fasicthasina is a killer of thousand innocent students. fasicthasina is
eight individuals including former igp and former dg ntmc were produced before the international crimes tribunal ict today in a case filed over crimes against humanity and genocide during the julyaugust mass uprising,517035,eight individuals including former igp and former dg ntmc were produced before the international crimes tribunal ict today in a case filed over crimes against humanity and genocide during the julyaugust mass uprising.,All images are copyrighted.,eight individuals including former igp and former dg ntmc were produced before the international crimes tribunal ict today.
shabuddin chuppu must resign he must leave he is also a fascist enabler,190243,shabuddin chuppu must resign he must leave he is also a fascist enabler.,shabuddin chuppu must resign he must leave and be a fascist enabler,shabuddin chuppu must resign he must leave. chuppu is also a fascist enabler
july uprising us recognizes the brave woman,239691,july uprising us recognizes the brave woman.,A look back at some of the most memorable moments from the Arab Spring.,july uprising us recognizes brave woman.
reflecting on the july movement this is how jamaatncp murdered 3000 police officers and left their bodies hanging across the streets of dhaka they set fire to 400 police stations and looted all the weapons inside meanwhile usaid and various human rights organizations backed their every move the united nations issued a report about these events but it conveniently left out any mention of their namesso can you really trust that reports credibility,367455,reflecting on the july movement this is how jamaatncp murdered 3000 police officers and left their bodies hanging across the streets of dhaka. They set fire to 400 police stations and looted all the weapons inside meanwhile usaid,Today marks the 30th anniversary of one of the most violent protests in the history of Bangladesh.,jamaatncp murdered 3000 police officers and left their bodies hanging across the streets of dhaka they set fire to 400 police stations
chief adviser professor muhammad yunus visited the dhaka university area to see the graffiti drawn by young revolutionaries during the studentled mass uprising in july and august photos ca press wing,826285,chief adviser professor muhammad yunus visited the dhaka university area to see the graffiti drawn by young revolutionaries during the studentled mass uprising.,All photographs  AP,chief adviser professor muhammad yunus visited the dhaka university area to see the graffiti drawn by young revolutionaries during the studentled
