Tweets,tweet_id
bold hearts fearless minds meet the july revolution girls from the streets of bangladesh they are breaking barriers rewriting history and inspiring a new era of unstoppable change,753744
rickshaw that carried revolution martyr finds place in museum,135227
butcher of bangladesh hasina deployed un vehicles to attack demonstrators in dhaka that is how crazy she went to save her position and butcherofgujrat is sheltering this woman,164257
frustrated bal goon showing police how to shoot to kill the goon is literally shouting at the police this is how butcherofbangladesh ran the country for 15 years,849649
if you know you know unpublished images from july 25 we had amber hard fraudcorrupt as a ruler the only difference is that fasicthasina is a killer of thousand innocent students,236113
eight individuals including former igp and former dg ntmc were produced before the international crimes tribunal ict today in a case filed over crimes against humanity and genocide during the julyaugust mass uprising,517035
shabuddin chuppu must resign he must leave he is also a fascist enabler,190243
july uprising us recognizes the brave woman,239691
reflecting on the july movement this is how jamaatncp murdered 3000 police officers and left their bodies hanging across the streets of dhaka they set fire to 400 police stations and looted all the weapons inside meanwhile usaid and various human rights organizations backed their every move the united nations issued a report about these events but it conveniently left out any mention of their namesso can you really trust that reports credibility,367455
chief adviser professor muhammad yunus visited the dhaka university area to see the graffiti drawn by young revolutionaries during the studentled mass uprising in july and august photos ca press wing,826285
here is the main gate of buet the most prestigious educational institution in bangladesh since the julyrevolution students have been voicing unique protests against unwanted intervention by india on various internal matters of bangladesh,737684
july massacre 2024 we will never forget video 36 our second independence was made possible by the sacrifices and sufferings of thousands of people like this injured brother,957168
dhaka university bloodied as chhatra league thugs attack quota reform protesters allegedly supported by pm hasina and backed by bdpolice the injured count is uncertain with reports of female students being targeted by ruling albd1971 members,619122
tragic news from dhaka university over 100 students were injured in a brutal attack by chhatra league members in front of the vcs building reports indicate several female students were also harassed by ruling albd1971s student wings,907825
1 month ago today still remember the fear i had in me when i saw the facebook postie really lived through a movie and fortunately this time we had a good ending,578142
please speak about bangladesh use your platforms to spread awareness about the ongoing situation all eyes on bangladesh save bangladeshi student,661809
make a bamboo stick make bangladesh free asia maimed student leader on march to dhaka tomorrow step down fascist having,543393
coordinator nails directive the student community will not accept martial law,309081
