UserName,Hashtag,Tweet
@monicaBeg,"#JulyRevolutionGirls,","Bold hearts, fearless minds - meet the July Revolution Girls! From the streets of Bangladesh, they’re breaking barriers, rewriting history, and inspiring a new era of unstoppable change"
@monicaBeg,#BangladeshRise,"Bold hearts, fearless minds - meet the July Revolution Girls! From the streets of Bangladesh, they’re breaking barriers, rewriting history, and inspiring a new era of unstoppable change"
@dailystarnews,#JulyMassacre,"Rickshaw that carried revolution martyr finds place in museum
"
@Zakzakxak,#ButcherOfBangladesh,"Butcher of Bangladesh, Hasina, deployed UN vehicles to attack demonstrators in Dhaka. That's how crazy she went to save her position. And #ButcherOfGujrat is sheltering this woman."
@Zakzakxak,#BanAwamiLeague,"Frustrated BAL goon showing police how to shoot to kill. The goon is literally shouting at the police! This is how #ButcherOfBangladesh ran the country for 15 years.
"
@ZahidSheikh13,#Hasinopath,"If you know you know! Unpublished images from July 25!! We had amber hard (fraud/corrupt) as a ruler, the only difference is that #FasictHasina is a killer of thousand innocent students."
@dailystarnews,#JulyAugustUprising,"Eight individuals, including former IGP and former DG (NTMC), were produced before the International Crimes Tribunal (ICT) today in a case filed over crimes against humanity and genocide during the July-August mass uprising."
@ZahidSheikh13,#HuntDownHasina,"Shabuddin Chuppu Must Resign. 

He must leave. He is also a  Fascist Enabler. 
"
@centristnattv,#julyuprising,July Uprising: US Recognises The Brave woman 
@AbdullahAl8749,#stepdownyounus,"Reflecting on the July movement: This is how Jamaat-NCP murdered 3,000 #police officers and left their bodies hanging across the streets of Dhaka. They set fire to 400 #police stations and looted all the weapons inside. Meanwhile, USAID and various human rights organizations backed their every move. The United Nations issued a report about these events, but it conveniently left out any mention of their names—so can you really trust that report’s credibility?"
@ChiefAdviserGoB,#JulyRevolution ,Chief Adviser Professor Muhammad Yunus visited the Dhaka University area to see the graffiti drawn by young revolutionaries during the student-led mass uprising in July and August. Photos: CA Press Wing
@basherkella,#StopIndianHegemony,"Here is the main gate of #BUET, the most prestigious educational institution in #Bangladesh. Since the #JulyRevolution, students have been voicing unique protests against unwanted intervention by #India on various internal matters of Bangladesh"
@RTD_BD,#StudentsMovement ,"July massacre 2024: We will never forget!

Video 36: Our second independence was made possible by the sacrifices and sufferings of thousands of people like this injured brother."
@RifatAlam007,#QuotaMovement,"#Dhaka University bloodied as Chhatra League thugs attack quota reform protesters, allegedly supported by PM #Hasina and backed by @bd_police. The injured count is uncertain, with reports of female students being targeted by ruling @albd1971 members. "
@RifatAlam007,#PrayForStudents,Tragic news from #Dhaka University: Over 100 students were injured in a brutal attack by Chhatra League members in front of the VC's building. Reports indicate several female students were also harassed by ruling @albd1971's student wings. 
@ArshiMinhajul,#QuotaReformMovement,"1 month ago today‼️I still remember the fear I had in me when I saw the facebook post.We really lived through a movie and fortunately, this time we had a good ending.....
"
@park07k,#StudentsUnderAttackInBangladesh,"Please speak about Bangladesh, use your platforms to spread awareness about the ongoing situation ‼️ 🇧🇩

ALL EYES ON BANGLADESH
SAVE BANGLADESHI STUDENT"
@rumankn,#LongMarchtoDhaka,"Make a bamboo stick
Make Bangladesh free
Asif Mahmud
Student leader on March to Dhaka Tomorrow
STEP DOWN FASCIST HASINA"
@buetian62,#BangladeshBleeding,"Coordinator Nahid's directive: ""The student community will not accept martial law."" "
@ERSaif14,#StepDownDictatorHasina,"On August 4, 2024, on the first day of the mass movement, around 30 people were killed across the country in attacks by the Awami League, Chhatra League, Jubo League, and police."
@buetian62,#BanBSL,"BSL goons attacked unarmed protesters visciously throughout the whole day. This video shows a proof of their act in Sylhet. 
"
@DhakaTribune,#JulyMartyrs," I'njured individuals will receive training and job priority, while the final m'artyr list is gazetted and i'njury lists are pending"
@DhakaTribune,#julywarriors,"If a decision to ban the party is not made within this timeframe, the July warriors have announced plans to block Dhaka city"
@fidi_fidel,#BangladeshCrisis,"We did not commit any crimes. Is it our crime to ask for an independent police commission?"" said Soaibur Rahman during a remand hearing in a case filed under the Cyber Security Act."
@RifatAlam007,#StudentProtest,"Students across #Bangladesh took to the streets late at night after protests erupted at #Dhaka University. In response to PM Sheikh #Hasina's comments against the #QuotaReform movement, university students nationwide held processions on their campuses."
@los7blancos,#AllEyesOnDhakaUniversity,"SHOTS ARE BEING FIRED AT JU AND Du

PlEASE HELP THEM OR SPREAD THE WORD 
"
@jeonsci,#QuotaReformProtest,"how can you turn a non-violent protest into this?? It's been DAYS of attacks 

WE STAND WITH BANGLADESHISTUDENTS
ALL EYES ON DHAKA UNIVERSITY"
@_spicygirl_,#RedForJustice,"Never been this proud of my teachers!

**Teachers of Jahangirnagar University held a demonstration with red clothes tied over their mouths."
@beingargentin,#HasinaWorseThanHitler,"Resistance is the existence!  So keep fighting online, offline, in Bangladesh and abroad. Fight everywhere. The new sun will rise"
